,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 21, 2026 - COT Leveraged Funds >>> valid for trades from July 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"100,990","53,953","5,448,713,470","34,660","3,500,313,400","16,361","1,652,297,390","18,299","1,848,016,010","-1,938",-3.59%,-5.59%,10.11%,"-195,718,620","-195,718,620",,GBPNZD,AUDNZD,GBPCAD,AUDCAD,GBPJPY,AUDJPY,GBPCHF,
EUR,"125,000","800,061","114,285,713,621","238,891","34,124,683,509","91,110","11,388,750,000","147,781","18,472,625,000","-56,671",-7.08%,-23.72%,-0.74%,"-7,083,875,000","-8,095,239,834",,53.70%,52.70%,46.50%,45.50%,34.70%,33.70%,31.90%,
GBP,"62,500","262,281","22,041,931,314","103,552","8,702,445,360","68,394","4,274,625,000","35,158","2,197,375,000","33,236",12.67%,32.10%,2.47%,"2,077,250,000","2,793,132,668",,AUDCHF,USDCAD,EURNZD,GBPUSD,EURCAD,AUDUSD,USDJPY,
CAD,"100,000","365,599","26,078,542,269","161,607","11,527,588,917","31,615","3,161,500,000","129,992","12,999,200,000","-98,377",-26.91%,-60.87%,-3.16%,"-9,837,700,000","-7,017,329,787",,30.90%,27.60%,25.80%,18.80%,18.60%,17.80%,15.80%,
AUD,"100,000","225,153","15,713,653,023","82,474","5,755,942,934","53,631","5,363,100,000","28,843","2,884,300,000","24,788",11.01%,30.06%,-2.11%,"2,478,800,000","1,729,979,308",,USDCHF,EURJPY,EURCHF,CHFJPY,GBPAUD,NZDCAD,EURUSD,
NZD,"100,000","108,800","6,353,920,000","41,292","2,411,452,800","5,103","510,300,000","36,189","3,618,900,000","-31,086",-28.57%,-75.28%,-6.73%,"-3,108,600,000","-1,815,422,400",,13.10%,6.80%,4.00%,2.80%,1.00%,-7.20%,-9.10%,
CHF,"125,000","107,866","16,678,510,585","28,073","4,340,717,443","9,588","1,198,500,000","18,485","2,310,625,000","-8,897",-8.25%,-31.69%,0.62%,"-1,112,125,000","-1,375,676,382",,CADJPY,CADCHF,NZDJPY,NZDCHF,EURAUD,EURGBP,NZDUSD,
JPY,"12,500,000","423,796","32,579,317,500","258,251","19,853,045,625","81,033","1,012,912,500,000","177,218","2,215,225,000,000","-96,185",-22.70%,-37.24%,-1.39%,"-1,202,312,500,000","-7,394,221,875",,-11.80%,-14.60%,-19.00%,-21.80%,-26.90%,-27.90%,-34.80%,
SP500 (E-MINI),"370,599","1,939,493","718,774,166,307","616,533","228,486,513,267","146,834","54,416,533,566","469,699","174,069,979,701","-322,865",-16.65%,-52.37%,5.03%,"-119,653,446,135","-119,653,446,135",,,,,,,,,
NAS100 (NQ MINI),"562,567","286,903","161,402,160,001","167,378","94,161,339,326","46,344","26,071,605,048","121,034","68,089,734,278","-74,690",-26.03%,-44.62%,-4.35%,"-42,018,129,230","-42,018,129,230",,,,,,,,,
